rch_site,scenario,dx,dy,center_x,center_y,area_site,recharge,Transient,Stationary
1,104,25.0,-25.0,212135.0,448086.842105263,647649.853894051,16.0773710717395,1457123.1079101562,1409274.5971679688
1,105,25.0,-25.0,213157.857142857,448086.842105263,964631.254577485,10.0634044136063,1224836.8835449219,1374511.5661621094
1,108,25.0,-25.0,216226.428571429,448086.842105263,577914.484301233,18.9577379579488,901143.5699462891,848099.2126464844
1,23,25.0,-25.0,215203.571428571,440792.105263158,113812.896383344,22.2139576964029,301367.3210144043,305341.9303894043
1,28,25.0,-25.0,208043.571428571,441834.210526316,418759.481965564,23.8554582301294,1029282.3791503906,950055.3894042969
1,30,25.0,-25.0,210089.285714286,441834.210526316,83196.7611972068,23.2187104155116,660588.3026123047,534911.6516113281
1,33,25.0,-25.0,213157.857142857,441834.210526316,996480.801616941,11.3112236098386,1375121.1547851562,1437243.1945800781
1,49,25.0,-25.0,204975.0,443918.421052632,948496.011815529,17.4595428809989,1804998.9318847656,1511421.9665527344
1,52,25.0,-25.0,208043.571428571,443918.421052632,882202.288630972,5.05206968870092,648850.4791259766,534929.6569824219
1,55,25.0,-25.0,211112.142857143,443918.421052632,929886.999659706,22.7168087053578,2057898.4069824219,1620207.0617675781
1,69,25.0,-25.0,213157.857142857,444960.52631579,420916.220878542,21.7133973308826,671445.6939697266,786219.5587158203
1,7,25.0,-25.0,211112.142857143,439750.0,663077.143806499,16.04441566429,1215643.6157226562,1764101.5625
1,71,25.0,-25.0,215203.571428571,444960.52631579,338647.592314577,21.5976582766808,1490378.8757324219,1209094.009399414
1,87,25.0,-25.0,207020.714285714,447044.736842105,553533.730439434,20.9713785785134,1688024.5971679688,1781645.2026367188
1,88,25.0,-25.0,208043.571428571,447044.736842105,371543.434216292,6.42355052755577,778059.7686767578,451952.6672363281
1,9,25.0,-25.0,213157.857142857,439750.0,19391.2533824041,23.4888085295291,66127.59113311768,37885.1842880249
1,90,25.0,-25.0,210089.285714286,447044.736842105,42275.1792109921,10.5530031724031,81453.5140991211,17021.772861480713
1,99,25.0,-25.0,207020.714285714,448086.842105263,424170.9166496,12.2831304231077,872079.1625976562,820566.9403076172
3,104,25.0,-25.0,224409.285714286,448086.842105263,565469.263098552,21.3291823343219,3288974.9145507812,2779337.7685546875
3,105,25.0,-25.0,225432.142857143,448086.842105263,404250.808708195,6.5217894827753,385736.2747192383,481113.4719848633
3,108,25.0,-25.0,228500.714285714,448086.842105263,51969.1178381618,10.5643455433245,64408.512115478516,33731.05525970459
3,23,25.0,-25.0,227477.857142857,440792.105263158,894997.732284217,21.1309746517476,2296315.0024414062,1943046.2646484375
3,28,25.0,-25.0,220317.857142857,441834.210526316,991437.575779215,24.9653405215229,1727002.4108886719,1799754.638671875
3,30,25.0,-25.0,222363.571428571,441834.210526316,199550.939038279,10.7998532087594,279998.60763549805,198953.55224609375
3,33,25.0,-25.0,225432.142857143,441834.210526316,656020.648133563,16.3897399109943,1787541.1987304688,1880368.0419921875
3,49,25.0,-25.0,217249.285714286,443918.421052632,373720.224876539,19.4891135959317,1745230.712890625,1414432.6782226562
3,52,25.0,-25.0,220317.857142857,443918.421052632,13743.5538094433,12.0575541821502,14652.516841888428,11598.88744354248
3,55,25.0,-25.0,223386.428571429,443918.421052632,53522.6491953363,17.3571854459523,106196.00296020508,83623.94332885742
3,69,25.0,-25.0,225432.142857143,444960.52631579,414586.470918992,22.3062988222939,1874856.4147949219,1388273.6206054688
3,7,25.0,-25.0,223386.428571429,439750.0,862650.519159186,12.666659757883,1357045.8984375,1450264.5874023438
3,71,25.0,-25.0,227477.857142857,444960.52631579,129485.884706723,6.23557320501681,122613.96408081055,47133.42189788818
3,87,25.0,-25.0,219295.0,447044.736842105,170969.236112374,5.38259022481119,218149.71923828125,19134.610891342163
3,88,25.0,-25.0,220317.857142857,447044.736842105,583201.110528346,5.83887303039147,1562378.3874511719,994698.4100341797
3,9,25.0,-25.0,225432.142857143,439750.0,78119.6045593824,7.05975396332926,56107.683181762695,24626.429080963135
3,90,25.0,-25.0,222363.571428571,447044.736842105,448339.456815476,15.5540461452975,2330051.4221191406,1926234.8937988281
3,99,25.0,-25.0,219295.0,448086.842105263,118264.976999519,22.0395888491378,955848.8464355469,442902.9846191406
5,104,25.0,-25.0,236683.571428571,448086.842105263,513647.43559729,11.8615227717997,548490.7531738281,500339.31732177734
5,105,25.0,-25.0,237706.428571429,448086.842105263,241207.278393413,14.2659948363046,889968.3380126953,697387.7716064453
5,108,25.0,-25.0,240775.0,448086.842105263,927988.237602258,10.5042320260869,868418.5028076172,854474.7924804688
5,23,25.0,-25.0,239752.142857143,440792.105263158,162458.00372379,24.881238635222,372981.7581176758,337099.1516113281
5,28,25.0,-25.0,232592.142857143,441834.210526316,143731.879184867,11.9074733914717,386839.37072753906,344790.1153564453
5,30,25.0,-25.0,234637.857142857,441834.210526316,63393.8052491285,8.01248886636717,63804.39758300781,38866.41025543213
5,33,25.0,-25.0,237706.428571429,441834.210526316,980543.819340353,10.2889792617708,4885206.9091796875,3997562.255859375
5,49,25.0,-25.0,229523.571428571,443918.421052632,567934.707993991,9.27532820658396,1187066.3452148438,1351225.1281738281
5,52,25.0,-25.0,232592.142857143,443918.421052632,154948.395752755,10.4943493351457,471927.79541015625,405351.25732421875
5,55,25.0,-25.0,235660.714285714,443918.421052632,170262.002939824,7.28556219129435,162685.26077270508,174801.1589050293
5,69,25.0,-25.0,237706.428571429,444960.52631579,233332.928124728,14.4155833640705,262341.5946960449,384781.11267089844
5,7,25.0,-25.0,235660.714285714,439750.0,249431.423271191,8.34430656164316,391480.4458618164,367969.970703125
5,71,25.0,-25.0,239752.142857143,444960.52631579,81918.2735345676,7.7590102065264,110167.17910766602,58608.51764678955
5,87,25.0,-25.0,231569.285714286,447044.736842105,984226.452332572,9.91654137419795,1214997.4060058594,1228388.0615234375
5,88,25.0,-25.0,232592.142857143,447044.736842105,381790.040590946,23.7167723164829,977166.8243408203,965772.9339599609
5,9,25.0,-25.0,237706.428571429,439750.0,849821.843419573,18.0008252601579,5272697.1435546875,6097760.009765625
5,90,25.0,-25.0,234637.857142857,447044.736842105,315727.11393502,15.7195574661924,522547.607421875,608750.0762939453
5,99,25.0,-25.0,231569.285714286,448086.842105263,349719.749907847,10.7474110864504,493151.85546875,501772.4609375
2,104,25.0,-25.0,212135.0,458507.894736842,189477.404425037,9.98990248542072,179467.18215942383,138267.40264892578
2,105,25.0,-25.0,213157.857142857,458507.894736842,107448.975029518,17.0246938771646,212350.65460205078,173877.92587280273
2,108,25.0,-25.0,216226.428571429,458507.894736842,279552.859253134,20.5684751383443,773879.8522949219,634513.2064819336
2,23,25.0,-25.0,215203.571428571,451213.157894737,500068.475915032,6.78812567915561,571324.9588012695,457532.84454345703
2,28,25.0,-25.0,208043.571428571,452255.263157895,581932.45307231,6.70556612222895,490234.75646972656,525420.7229614258
2,30,25.0,-25.0,210089.285714286,452255.263157895,125203.569960868,22.0080169519125,799501.8005371094,589017.6391601562
2,33,25.0,-25.0,213157.857142857,452255.263157895,396739.067319577,5.39294532211756,427898.8265991211,390664.7491455078
2,49,25.0,-25.0,204975.0,454339.473684211,281497.913746134,15.2603255313265,450171.62322998047,389414.8635864258
2,52,25.0,-25.0,208043.571428571,454339.473684211,761762.061916816,12.6091647073885,730202.2552490234,894921.7224121094
2,55,25.0,-25.0,211112.142857143,454339.473684211,958971.373020351,12.5531132074927,1407641.6015625,1922346.9543457031
2,69,25.0,-25.0,213157.857142857,455381.578947369,640256.860322465,15.5788599028731,1207480.239868164,1287917.1752929688
2,7,25.0,-25.0,211112.142857143,450171.052631579,556121.459926944,21.5735162261925,1746635.4370117188,1599481.5063476562
2,71,25.0,-25.0,215203.571428571,455381.578947369,457563.551200146,19.3426429317074,1110837.5549316406,819387.8936767578
2,87,25.0,-25.0,207020.714285714,457465.789473684,142855.841790064,11.1687060636921,194069.49996948242,186429.40521240234
2,88,25.0,-25.0,208043.571428571,457465.789473684,64460.6018504419,10.4633043838031,63888.816833496094,93175.73547363281
2,9,25.0,-25.0,213157.857142857,450171.052631579,888902.822438628,18.5226884591587,1714454.345703125,1690357.0556640625
2,90,25.0,-25.0,210089.285714286,457465.789473684,310147.196707228,11.8592020965492,794194.4122314453,550009.8037719727
2,99,25.0,-25.0,207020.714285714,458507.894736842,383828.308676748,15.7925105825092,724349.0600585938,887066.1163330078
4,104,25.0,-25.0,224409.285714286,458507.894736842,881393.062320043,24.0559822073491,1567656.0974121094,1440829.9255371094
4,105,25.0,-25.0,225432.142857143,458507.894736842,417412.855681178,18.6071970085161,907728.5766601562,830037.3840332031
4,108,25.0,-25.0,228500.714285714,458507.894736842,482835.898306192,17.5459479278264,997089.9963378906,846064.3768310547
4,23,25.0,-25.0,227477.857142857,451213.157894737,126265.013268654,22.3543218366685,339019.05059814453,310589.6186828613
4,28,25.0,-25.0,220317.857142857,452255.263157895,459241.683800006,8.36559633082167,1118495.2545166016,964931.4880371094
4,30,25.0,-25.0,222363.571428571,452255.263157895,778300.382544287,12.7094724175404,3546000.9765625,3254851.6845703125
4,33,25.0,-25.0,225432.142857143,452255.263157895,399093.717056123,12.3062993739926,659800.7202148438,934901.0467529297
4,49,25.0,-25.0,217249.285714286,454339.473684211,429447.50572255,5.77888095433203,232992.26760864258,260647.96447753906
4,52,25.0,-25.0,220317.857142857,454339.473684211,527640.842393681,18.7838977342666,1670886.9934082031,1399992.9809570312
4,55,25.0,-25.0,223386.428571429,454339.473684211,122327.780522493,17.5050160717154,252470.89385986328,367633.3236694336
4,69,25.0,-25.0,225432.142857143,455381.578947369,330980.163086089,17.6943927679483,801606.7504882812,635490.3793334961
4,7,25.0,-25.0,223386.428571429,450171.052631579,650546.914061852,8.74981086419818,2643094.7875976562,2962142.9443359375
4,71,25.0,-25.0,227477.857142857,455381.578947369,34211.7742756091,5.06208517381714,4999.911189079285,4209.843873977661
4,87,25.0,-25.0,219295.0,457465.789473684,802081.183669419,21.8016374674884,2791936.6455078125,3552045.5932617188
4,88,25.0,-25.0,220317.857142857,457465.789473684,68259.1191483662,6.64767264071593,21687.450408935547,13239.25495147705
4,9,25.0,-25.0,225432.142857143,450171.052631579,193751.704467606,6.46630633923794,209741.64962768555,219628.0288696289
4,90,25.0,-25.0,222363.571428571,457465.789473684,102148.867091746,20.2696023823422,335860.4431152344,304267.82608032227
4,99,25.0,-25.0,219295.0,458507.894736842,284918.787991599,18.7433537372724,1620492.0959472656,1637397.7661132812
6,104,25.0,-25.0,236683.571428571,458507.894736842,492295.002390834,11.2814052548816,660877.3803710938,643148.1170654297
6,105,25.0,-25.0,237706.428571429,458507.894736842,516878.409022466,8.06976430174351,483235.77880859375,528066.7877197266
6,108,25.0,-25.0,240775.0,458507.894736842,813871.669861168,10.9047699500483,946534.5001220703,950714.7216796875
6,23,25.0,-25.0,239752.142857143,451213.157894737,323947.423856094,10.1419625730745,659027.099609375,622234.992980957
6,28,25.0,-25.0,232592.142857143,452255.263157895,209344.789726922,10.6827175770369,237602.17666625977,240034.5802307129
6,30,25.0,-25.0,234637.857142857,452255.263157895,411855.560688448,6.67316598505325,360534.1339111328,358539.92462158203
6,33,25.0,-25.0,237706.428571429,452255.263157895,599022.035007161,5.98701307417489,768723.2208251953,684815.9027099609
6,49,25.0,-25.0,229523.571428571,454339.473684211,456871.845073853,5.89022275312648,458846.3592529297,462041.74041748047
6,52,25.0,-25.0,232592.142857143,454339.473684211,225716.588861455,12.3772145341241,213202.74353027344,300261.173248291
6,55,25.0,-25.0,235660.714285714,454339.473684211,269229.833830032,11.4732616897543,465188.36975097656,440469.3603515625
6,69,25.0,-25.0,237706.428571429,455381.578947369,584867.487232405,20.2275328546142,956689.3768310547,959050.5981445312
6,7,25.0,-25.0,235660.714285714,450171.052631579,554752.119870536,24.0390436484013,1014070.9686279297,1059333.1146240234
6,71,25.0,-25.0,239752.142857143,455381.578947369,793283.402005473,15.5090175255577,5426707.763671875,3962630.0048828125
6,87,25.0,-25.0,231569.285714286,457465.789473684,999020.387091965,5.22366531834187,709002.7618408203,736602.6306152344
6,88,25.0,-25.0,232592.142857143,457465.789473684,321570.070372778,23.232898162956,630202.1408081055,634969.4442749023
6,9,25.0,-25.0,237706.428571429,450171.052631579,575710.353728035,13.6574099843985,938672.6379394531,983206.8634033203
6,90,25.0,-25.0,234637.857142857,457465.789473684,243660.386656498,8.59082902588287,170248.73733520508,213562.18338012695
6,99,25.0,-25.0,231569.285714286,458507.894736842,177678.856163053,11.5021906540302,409064.29290771484,220556.54525756836
